time,open,high,low,close,volume
1730437200000,2513.59,2514.8,2511.51,2514.56,3541.846
1730437500000,2514.56,2515.25,2511.0,2511.01,2944.311
1730437800000,2511.01,2511.15,2509.11,2510.24,3197.679
1730438100000,2510.29,2511.08,2507.75,2510.96,2213.998
1730438400000,2510.96,2513.37,2509.17,2510.0,4902.582
1730438700000,2510.0,2510.3,2507.96,2510.0,2077.463
1730439000000,2510.01,2512.89,2510.0,2510.44,3700.981
1730439300000,2510.45,2513.46,2510.11,2512.21,2247.293
1730439600000,2512.21,2512.32,2509.0,2511.37,5210.75
1730439900000,2511.37,2514.87,2510.0,2510.67,5497.663
1730440200000,2510.67,2512.17,2508.85,2512.11,2776.775
1730440500000,2512.11,2512.54,2510.54,2510.54,1400.716
1730440800000,2510.54,2513.58,2509.62,2511.37,3028.544
1730441100000,2511.37,2511.37,2505.04,2505.16,13725.572
1730441400000,2505.17,2505.17,2500.03,2501.63,13679.074
1730441700000,2501.62,2506.99,2501.41,2503.21,6483.669
1730442000000,2503.21,2508.58,2502.63,2505.75,4837.785
1730442300000,2505.76,2509.49,2505.3,2506.84,6355.245
1730442600000,2506.84,2507.83,2505.5,2505.76,3900.757
1730442900000,2505.76,2512.01,2504.03,2511.56,10169.396
1730443200000,2511.56,2512.37,2506.84,2509.0,5128.136
1730443500000,2509.0,2513.7,2509.0,2510.86,5379.219
1730443800000,2510.85,2510.86,2503.72,2505.33,5317.539
1730444100000,2505.33,2505.63,2499.91,2500.5,11710.37
1730444400000,2500.51,2506.0,2499.99,2504.24,7305.512
1730444700000,2504.24,2505.15,2492.7,2492.77,22604.348
1730445000000,2492.78,2495.55,2485.32,2487.93,30681.921
1730445300000,2487.93,2494.2,2487.61,2491.4,12630.717
1730445600000,2491.4,2499.95,2491.12,2498.18,18222.399
1730445900000,2498.19,2503.6,2497.83,2502.23,6464.706
1730446200000,2502.23,2504.8,2501.79,2504.0,6040.209
1730446500000,2504.01,2508.45,2503.68,2504.83,9484.299
1730446800000,2504.82,2504.83,2501.64,2502.74,4852.059
1730447100000,2502.75,2502.81,2497.74,2500.42,8935.702
1730447400000,2500.42,2506.86,2500.42,2504.71,5632.662
1730447700000,2504.53,2507.45,2503.79,2504.14,4943.625
1730448000000,2504.13,2506.32,2502.2,2504.11,5959.474
1730448300000,2504.12,2505.43,2501.92,2504.77,3704.854
1730448600000,2504.76,2508.95,2504.42,2508.94,4192.189
1730448900000,2508.94,2516.0,2508.74,2510.27,21643.72
1730449200000,2510.27,2513.81,2509.8,2512.47,6391.729
1730449500000,2512.48,2513.58,2510.62,2513.14,4443.954
1730449800000,2513.13,2515.12,2510.78,2511.88,9826.595
1730450100000,2511.88,2512.0,2504.47,2504.85,17975.987
1730450400000,2504.85,2509.09,2503.74,2508.83,6993.411
1730450700000,2508.84,2509.02,2505.0,2505.63,3660.063
1730451000000,2505.63,2506.99,2502.56,2503.43,5000.472
1730451300000,2503.44,2503.72,2493.67,2501.07,28437.201
1730451600000,2501.06,2504.45,2498.77,2504.28,8603.392
1730451900000,2504.27,2506.33,2502.7,2504.06,3925.472
1730452200000,2504.06,2507.17,2503.68,2507.06,4136.734
1730452500000,2507.06,2508.63,2503.34,2503.34,3821.608
1730452800000,2503.35,2504.25,2500.64,2503.35,6085.621
1730453100000,2503.34,2505.34,2502.9,2503.5,1748.247
1730453400000,2503.5,2505.85,2501.78,2505.48,4748.784
1730453700000,2505.47,2510.0,2504.52,2509.51,6476.507
1730454000000,2509.52,2511.52,2507.21,2509.81,5518.935
1730454300000,2509.81,2513.27,2507.84,2513.12,7512.546
1730454600000,2513.12,2513.68,2508.25,2508.53,6758.712
1730454900000,2508.53,2511.42,2508.53,2511.0,1889.057
1730455200000,2510.99,2513.23,2509.31,2512.46,4140.798
1730455500000,2512.46,2512.47,2509.47,2510.88,3932.107
1730455800000,2510.88,2513.42,2509.78,2512.82,4116.943
1730456100000,2512.82,2519.0,2511.65,2515.58,13987.494
1730456400000,2515.58,2521.35,2514.5,2515.7,17945.114
1730456700000,2515.7,2519.26,2514.68,2518.27,9727.626
1730457000000,2518.26,2525.0,2518.18,2522.3,18437.442
1730457300000,2522.31,2522.31,2513.4,2514.54,18432.731
1730457600000,2514.54,2516.89,2513.53,2516.39,6327.361
1730457900000,2516.39,2519.65,2513.11,2517.09,6802.229
1730458200000,2517.09,2521.67,2517.08,2518.94,6218.762
1730458500000,2518.94,2518.97,2517.54,2518.76,2357.231
1730458800000,2518.77,2523.06,2518.16,2522.42,9397.656
1730459100000,2522.43,2522.65,2518.67,2520.41,3327.244
1730459400000,2520.42,2524.2,2519.78,2522.97,6208.762
1730459700000,2522.97,2523.3,2521.19,2521.78,3875.062
1730460000000,2521.79,2526.26,2521.36,2523.99,8851.16
1730460300000,2524.0,2524.0,2520.87,2522.9,4144.957
1730460600000,2522.9,2522.9,2519.04,2520.71,4052.29
1730460900000,2520.71,2522.44,2520.0,2520.91,2442.108
1730461200000,2520.91,2521.74,2519.33,2521.06,2154.3
1730461500000,2521.06,2521.15,2517.26,2520.0,5428.708
1730461800000,2519.99,2521.5,2518.99,2519.36,2735.245
1730462100000,2519.36,2519.37,2515.84,2515.84,4727.46
1730462400000,2515.85,2518.79,2515.0,2518.78,8505.858
1730462700000,2518.78,2519.11,2516.61,2517.78,3528.241
1730463000000,2517.79,2522.66,2517.79,2520.87,4192.427
1730463300000,2520.88,2523.62,2519.69,2521.55,5707.807
1730463600000,2521.56,2523.83,2520.61,2521.06,4183.83
1730463900000,2521.07,2522.04,2518.51,2519.47,3371.638
1730464200000,2519.47,2532.19,2516.19,2526.59,40612.867
1730464500000,2526.6,2543.73,2525.48,2543.19,75925.634
1730464800000,2543.19,2543.2,2534.13,2535.79,26273.894
1730465100000,2535.79,2542.6,2534.57,2540.68,10613.748
1730465400000,2540.68,2540.68,2534.0,2535.82,8900.741
1730465700000,2535.82,2538.36,2531.52,2536.82,11974.833
1730466000000,2536.82,2537.26,2533.68,2533.99,6231.091
1730466300000,2533.99,2535.38,2530.02,2534.64,7518.692
1730466600000,2534.63,2535.55,2531.43,2533.41,5605.077
1730466900000,2533.41,2537.35,2531.74,2536.85,5146.243
1730467200000,2536.86,2537.42,2534.48,2537.41,4100.723
1730467500000,2537.41,2539.5,2535.01,2536.45,4163.324
1730467800000,2536.44,2546.42,2535.02,2545.45,23133.186
1730468100000,2545.45,2560.99,2544.03,2558.54,49772.882
1730468400000,2558.54,2562.94,2550.37,2551.29,42033.084
1730468700000,2551.29,2567.19,2547.0,2565.4,32037.433
1730469000000,2565.4,2567.93,2558.35,2562.37,31753.057
1730469300000,2562.37,2577.0,2561.26,2574.59,47905.68
1730469600000,2574.59,2574.94,2561.02,2565.0,30438.262
1730469900000,2565.0,2579.75,2564.76,2573.61,31805.283
1730470200000,2573.6,2581.8,2571.46,2578.32,37717.03
1730470500000,2578.32,2584.25,2574.76,2581.96,23037.013
1730470800000,2581.96,2587.86,2574.04,2576.24,24349.554
1730471100000,2576.24,2578.0,2573.27,2575.06,15507.775
1730471400000,2575.07,2582.32,2567.56,2574.0,24431.001
1730471700000,2574.0,2576.33,2565.82,2569.83,23837.626
1730472000000,2569.82,2572.14,2556.7,2560.89,42318.584
1730472300000,2560.9,2568.46,2558.0,2564.68,31957.481
