time,open,high,low,close,volume
1730437200000,2513.36,2514.5,2511.41,2514.5,393.0656
1730437500000,2514.5,2515.0,2511.1,2511.11,291.5977
1730437800000,2511.1,2511.11,2509.2,2510.09,282.3625
1730438100000,2510.09,2510.7,2507.6,2510.45,1101.0877
1730438400000,2510.45,2513.1,2509.16,2509.65,1602.7853
1730438700000,2509.66,2509.94,2507.62,2509.74,300.2715
1730439000000,2509.75,2512.4,2509.7,2510.0,420.125
1730439300000,2510.0,2512.94,2509.8,2511.94,434.7219
1730439600000,2511.93,2511.98,2508.62,2510.95,692.3213
1730439900000,2510.96,2514.2,2509.65,2510.2,763.2426
1730440200000,2510.19,2511.88,2508.64,2511.88,721.8396
1730440500000,2511.88,2512.16,2510.29,2510.29,309.7062
1730440800000,2510.29,2513.17,2509.49,2511.23,514.116
1730441100000,2511.23,2511.23,2505.0,2505.0,927.362
1730441400000,2505.01,2505.01,2500.11,2501.2,1487.1409
1730441700000,2501.21,2506.39,2501.1,2503.03,714.2728
1730442000000,2503.04,2507.99,2502.5,2505.09,902.2251
1730442300000,2505.09,2508.8,2505.0,2506.46,720.5327
1730442600000,2506.46,2507.4,2505.08,2505.29,602.6849
1730442900000,2505.29,2511.19,2503.67,2511.02,820.5443
1730443200000,2511.02,2511.81,2506.6,2508.58,895.8255
1730443500000,2508.59,2513.4,2508.58,2510.68,2225.2507
1730443800000,2510.68,2510.68,2503.61,2504.97,747.8149
1730444100000,2504.97,2505.38,2500.18,2500.4,1099.7086
1730444400000,2500.39,2505.6,2500.21,2504.06,1071.4562
1730444700000,2504.05,2504.8,2492.64,2492.74,3169.5367
1730445000000,2492.74,2494.87,2485.35,2487.63,4094.5419
1730445300000,2487.64,2493.93,2487.22,2491.0,1350.9387
1730445600000,2491.0,2499.06,2490.99,2497.73,1555.5293
1730445900000,2497.74,2502.98,2497.62,2501.83,677.502
1730446200000,2501.83,2504.5,2501.6,2503.74,1212.2523
1730446500000,2503.74,2507.9,2503.49,2504.7,1315.398
1730446800000,2504.71,2504.71,2501.42,2502.59,1371.0195
1730447100000,2502.6,2502.6,2497.91,2500.31,1841.7337
1730447400000,2500.31,2506.5,2500.31,2504.4,1049.4225
1730447700000,2504.4,2507.18,2503.72,2504.12,808.6737
1730448000000,2504.12,2505.91,2501.99,2503.6,1005.182
1730448300000,2503.6,2505.13,2501.55,2504.66,482.2008
1730448600000,2504.66,2508.38,2504.2,2508.38,894.4388
1730448900000,2508.38,2515.48,2508.38,2510.24,2227.6622
1730449200000,2510.25,2513.51,2510.0,2512.51,1079.0232
1730449500000,2512.51,2513.5,2510.72,2513.01,808.6617
1730449800000,2513.0,2514.88,2510.63,2511.67,1063.6508
1730450100000,2511.67,2511.93,2504.81,2504.99,1644.4071
1730450400000,2505.0,2509.15,2503.6,2509.0,1818.7021
1730450700000,2509.0,2509.0,2505.02,2505.6,705.2351
1730451000000,2505.6,2506.99,2502.4,2503.27,706.1489
1730451300000,2503.27,2503.8,2494.55,2501.03,2393.8573
1730451600000,2501.03,2504.3,2498.62,2504.29,1142.4455
1730451900000,2504.29,2506.34,2502.62,2503.99,489.7112
1730452200000,2504.0,2507.15,2503.7,2506.88,591.2123
1730452500000,2506.88,2508.6,2503.43,2503.44,640.7741
1730452800000,2503.44,2504.3,2501.06,2503.31,648.1857
1730453100000,2503.31,2505.15,2502.99,2503.55,371.1616
1730453400000,2503.55,2505.99,2501.99,2505.4,490.6821
1730453700000,2505.4,2509.69,2504.52,2509.59,888.0747
1730454000000,2509.6,2511.17,2507.49,2509.74,757.6397
1730454300000,2509.73,2513.0,2507.9,2513.0,544.2732
1730454600000,2513.0,2513.55,2508.1,2508.68,1154.7382
1730454900000,2508.68,2511.33,2508.56,2510.82,1149.9216
1730455200000,2510.82,2513.13,2509.22,2512.41,590.0604
1730455500000,2512.41,2512.42,2509.51,2510.95,1021.7764
1730455800000,2510.95,2513.31,2509.8,2512.61,782.2648
1730456100000,2512.61,2518.97,2511.66,2515.49,1156.4535
1730456400000,2515.49,2521.36,2514.49,2515.81,3508.6895
1730456700000,2515.81,2519.4,2514.79,2518.41,2308.7106
1730457000000,2518.4,2524.89,2518.01,2522.33,3319.514
1730457300000,2522.34,2522.39,2513.5,2514.49,2432.2914
1730457600000,2514.5,2516.81,2513.51,2516.21,937.8333
1730457900000,2516.2,2519.43,2512.88,2516.99,907.6733
1730458200000,2517.0,2521.42,2517.0,2518.99,793.4238
1730458500000,2518.99,2519.0,2517.49,2518.74,398.402
1730458800000,2518.75,2523.04,2518.1,2522.4,829.6223
1730459100000,2522.41,2522.62,2518.66,2520.48,520.304
1730459400000,2520.49,2524.2,2520.08,2522.79,844.4621
1730459700000,2522.8,2523.2,2521.01,2521.52,874.3632
1730460000000,2521.52,2525.8,2521.25,2523.93,1044.9714
1730460300000,2523.93,2523.93,2521.0,2523.08,788.71
1730460600000,2523.08,2523.09,2519.09,2520.57,874.93
1730460900000,2520.57,2522.4,2520.07,2520.95,618.5062
1730461200000,2520.95,2521.6,2519.37,2521.0,458.9045
1730461500000,2521.0,2521.0,2517.51,2519.8,678.2242
1730461800000,2519.8,2521.37,2518.99,2519.2,325.6954
1730462100000,2519.19,2519.2,2515.43,2515.44,620.4919
1730462400000,2515.44,2518.49,2514.69,2518.48,881.3206
1730462700000,2518.48,2518.89,2516.4,2517.64,483.6453
1730463000000,2517.65,2522.4,2517.65,2520.77,403.5178
1730463300000,2520.78,2523.39,2519.6,2521.43,771.6919
1730463600000,2521.43,2523.66,2521.01,2521.09,686.831
1730463900000,2521.09,2522.0,2518.6,2519.6,716.7843
1730464200000,2519.61,2532.0,2516.14,2526.33,5477.5919
1730464500000,2526.33,2543.14,2525.53,2543.0,5783.9535
1730464800000,2542.99,2542.99,2534.29,2535.74,3271.0776
1730465100000,2535.74,2542.39,2534.42,2540.8,1533.3238
1730465400000,2540.79,2540.79,2533.94,2535.61,1393.2436
1730465700000,2535.6,2538.1,2531.56,2536.8,1018.6538
1730466000000,2536.8,2537.1,2533.55,2534.06,710.4068
1730466300000,2534.05,2535.25,2530.1,2534.95,1162.3304
1730466600000,2534.95,2535.56,2531.7,2533.49,1225.9373
1730466900000,2533.49,2537.2,2531.79,2537.09,872.9569
1730467200000,2537.1,2537.4,2534.6,2537.4,1238.8808
1730467500000,2537.39,2539.42,2535.0,2536.45,924.3552
1730467800000,2536.45,2546.14,2535.0,2545.3,2878.767
1730468100000,2545.29,2560.0,2544.11,2558.21,5297.9356
1730468400000,2558.21,2562.04,2550.21,2551.1,5057.1133
1730468700000,2551.1,2566.4,2547.12,2565.2,3271.3548
1730469000000,2565.2,2567.37,2558.2,2562.24,3105.8469
1730469300000,2562.23,2575.68,2561.2,2573.99,4447.5377
1730469600000,2573.99,2574.1,2561.0,2564.93,3668.3592
1730469900000,2564.93,2579.0,2564.6,2573.47,4168.7626
1730470200000,2573.48,2581.2,2571.49,2577.96,4109.717
1730470500000,2577.96,2583.51,2574.49,2581.6,2828.0165
1730470800000,2581.61,2586.8,2573.74,2575.79,4028.5077
1730471100000,2575.79,2577.2,2572.9,2574.7,3897.0439
1730471400000,2574.7,2581.55,2568.03,2573.43,2673.2863
1730471700000,2573.45,2576.0,2565.79,2569.57,3010.0833
1730472000000,2569.57,2571.74,2557.21,2560.39,3472.1377
1730472300000,2560.39,2570.17,2557.81,2564.4,5782.7567
1730472600000,2564.4,2565.5,2551.18,2556.5,3479.7606
1730472900000,2556.5,2563.87,2551.02,2561.82,1984.6145
1730473200000,2561.81,2565.0,2558.21,2560.0,1513.4537
1730473500000,2560.0,2560.4,2547.93,2548.99,2605.1914
1730473800000,2549.0,2554.78,2546.99,2554.39,1901.7528
1730474100000,2554.39,2554.39,2547.2,2549.06,1458.2603
1730474400000,2549.05,2550.33,2538.6,2547.39,3513.3306
1730474700000,2547.39,2550.81,2545.5,2547.5,1264.6628
1730475000000,2547.49,2547.8,2526.92,2536.01,5660.669
1730475300000,2536.02,2536.02,2511.53,2515.01,6057.6747
1730475600000,2515.01,2515.5,2502.27,2512.5,7160.4882
1730475900000,2512.5,2513.0,2489.0,2493.35,9542.2157
1730476200000,2493.29,2507.6,2481.68,2507.12,7858.4512
1730476500000,2507.13,2508.1,2497.4,2500.03,3846.8047
1730476800000,2500.02,2513.18,2498.64,2513.17,3993.9541
1730477100000,2513.17,2517.38,2503.15,2515.5,2745.5212
1730477400000,2515.5,2523.01,2514.0,2522.52,2612.0702
1730477700000,2522.54,2538.58,2519.01,2536.69,3952.9094
1730478000000,2536.7,2536.95,2519.49,2521.7,3582.9158
1730478300000,2521.7,2525.5,2516.7,2523.7,1615.0865
1730478600000,2523.7,2529.17,2520.31,2527.6,2042.8416
1730478900000,2527.61,2528.5,2511.56,2515.99,3699.43
1730479200000,2515.99,2519.0,2505.56,2510.36,3182.4195
1730479500000,2510.36,2520.3,2506.99,2516.5,1426.9086
1730479800000,2516.5,2522.78,2514.5,2519.3,858.5134
1730480100000,2519.3,2522.79,2516.94,2518.4,1338.5181
1730480400000,2518.4,2525.37,2517.6,2521.99,1359.2525
1730480700000,2521.99,2523.47,2507.49,2514.21,2464.7357
1730481000000,2514.2,2522.33,2508.62,2520.9,1670.4526
1730481300000,2520.9,2530.58,2520.0,2527.0,1925.2219
1730481600000,2526.99,2526.99,2521.77,2523.0,730.9293
1730481900000,2522.99,2525.29,2521.01,2522.5,738.2449
1730482200000,2522.5,2523.19,2511.79,2512.18,972.8347
1730482500000,2512.14,2515.4,2509.45,2513.0,1536.7009
1730482800000,2513.0,2514.27,2510.2,2511.21,710.6418
1730483100000,2511.22,2514.45,2509.0,2512.66,581.9569
1730483400000,2512.66,2520.79,2512.66,2517.6,737.7793
1730483700000,2517.6,2517.6,2512.69,2513.6,937.984
1730484000000,2513.6,2515.93,2511.6,2513.67,684.2429
1730484300000,2513.67,2515.1,2508.6,2509.1,1281.2333
1730484600000,2509.1,2512.19,2507.93,2511.24,938.789
1730484900000,2511.23,2517.48,2510.12,2511.8,1644.7461
1730485200000,2511.8,2515.5,2509.6,2515.5,1107.5205
1730485500000,2515.5,2517.6,2513.0,2516.2,570.4584
1730485800000,2516.2,2517.62,2514.0,2514.0,483.0357
1730486100000,2514.01,2517.21,2511.78,2515.12,636.7216
1730486400000,2515.12,2515.4,2510.2,2513.42,693.4199
1730486700000,2513.42,2515.5,2509.6,2512.77,1285.4556
1730487000000,2512.77,2512.77,2506.2,2508.33,916.2959
1730487300000,2508.32,2510.31,2505.8,2508.39,508.8843
1730487600000,2508.39,2508.9,2495.2,2504.11,2774.4286
1730487900000,2504.1,2513.73,2503.2,2505.27,1616.1842
1730488200000,2505.27,2506.89,2497.22,2501.4,2446.6167
1730488500000,2501.39,2509.5,2500.0,2506.77,998.2368
1730488800000,2506.8,2510.5,2503.83,2509.79,994.2122
1730489100000,2509.78,2511.0,2505.0,2505.6,687.7679
1730489400000,2505.6,2511.0,2504.72,2510.53,540.0721
1730489700000,2510.53,2517.48,2509.81,2512.77,1401.4923
1730490000000,2512.77,2514.61,2512.0,2514.01,448.0712
1730490300000,2514.0,2514.19,2511.01,2511.39,402.2423
1730490600000,2511.38,2513.44,2505.2,2513.43,1558.5283
1730490900000,2513.43,2516.5,2512.01,2514.49,780.6775
1730491200000,2514.5,2517.2,2513.77,2515.02,550.3717
1730491500000,2515.01,2515.01,2512.15,2514.21,299.9988
1730491800000,2514.21,2519.4,2512.71,2516.89,691.7458
1730492100000,2516.9,2517.8,2514.38,2516.24,567.6154
1730492400000,2516.24,2518.5,2515.5,2518.02,269.6659
1730492700000,2518.02,2523.2,2516.77,2522.6,1420.4007
1730493000000,2522.6,2526.41,2521.63,2523.4,1426.3435
1730493300000,2523.4,2524.64,2521.01,2524.43,756.4256
1730493600000,2524.42,2527.46,2524.42,2525.5,844.8355
1730493900000,2525.49,2525.49,2519.82,2520.23,352.12
1730494200000,2520.23,2520.67,2517.0,2517.2,372.4668
1730494500000,2517.21,2522.8,2517.0,2520.61,931.4192
1730494800000,2520.61,2520.79,2514.6,2516.92,852.1416
1730495100000,2516.91,2519.43,2516.09,2517.42,307.3553
1730495400000,2517.43,2517.96,2513.34,2513.98,329.5336
1730495700000,2513.98,2516.5,2513.69,2514.79,476.0696
