time,open,high,low,close,volume
1730437200000,69622.1,69640.4,69568.9,69640.4,77.633
1730437500000,69640.4,69673.8,69565.9,69566.1,217.074
1730437800000,69566.1,69590.8,69541.2,69580.1,141.213
1730438100000,69580.1,69628.0,69548.4,69624.2,80.266
1730438400000,69624.2,69664.7,69593.6,69618.2,182.536
1730438700000,69618.2,69639.0,69597.5,69639.0,73.737
1730439000000,69639.0,69668.8,69625.7,69625.7,89.568
1730439300000,69625.7,69669.0,69619.3,69659.7,82.423
1730439600000,69659.7,69673.2,69602.0,69655.8,63.797
1730439900000,69655.8,69698.1,69608.0,69615.2,168.481
1730440200000,69615.2,69631.5,69602.7,69624.3,95.93
1730440500000,69624.3,69650.0,69621.7,69634.4,43.823
1730440800000,69634.4,69720.0,69614.9,69666.5,195.273
1730441100000,69666.5,69667.6,69541.3,69544.0,190.961
1730441400000,69544.0,69547.3,69431.1,69431.2,338.547
1730441700000,69431.2,69487.0,69393.4,69402.0,348.938
1730442000000,69402.0,69474.7,69384.1,69384.2,263.519
1730442300000,69384.2,69416.9,69346.0,69346.0,334.714
1730442600000,69346.0,69399.0,69331.3,69376.1,155.699
1730442900000,69376.1,69531.0,69302.0,69527.6,403.202
1730443200000,69527.6,69550.0,69454.7,69471.4,244.333
1730443500000,69471.4,69572.6,69463.1,69499.6,180.442
1730443800000,69499.6,69499.6,69310.3,69331.8,447.18
1730444100000,69331.8,69331.8,69231.0,69234.1,371.532
1730444400000,69234.1,69350.9,69208.0,69332.9,419.265
1730444700000,69332.9,69351.0,69189.0,69200.5,354.758
1730445000000,69200.5,69221.2,69086.3,69120.0,703.516
1730445300000,69120.0,69184.5,69103.7,69107.3,339.568
1730445600000,69107.3,69244.2,69107.3,69228.4,311.533
1730445900000,69228.4,69332.4,69228.3,69275.4,389.733
1730446200000,69275.4,69330.2,69275.4,69328.8,263.335
1730446500000,69328.8,69436.8,69328.7,69368.8,375.326
1730446800000,69368.8,69373.9,69294.2,69312.4,138.383
1730447100000,69312.4,69349.9,69246.6,69328.6,213.454
1730447400000,69328.6,69430.1,69315.0,69315.0,234.383
1730447700000,69315.0,69346.6,69271.0,69287.0,89.859
1730448000000,69287.0,69350.0,69252.7,69275.8,231.808
1730448300000,69275.8,69329.4,69254.0,69324.9,128.582
1730448600000,69324.9,69468.2,69324.8,69459.1,307.457
1730448900000,69459.1,69554.9,69429.3,69436.4,429.337
1730449200000,69436.4,69500.0,69429.5,69483.5,158.967
1730449500000,69483.5,69495.0,69429.1,69480.0,106.052
1730449800000,69480.0,69542.7,69436.4,69471.6,148.047
1730450100000,69471.6,69471.6,69379.7,69379.7,166.738
1730450400000,69379.7,69468.7,69366.5,69454.6,76.075
1730450700000,69454.6,69512.5,69436.0,69469.6,94.462
1730451000000,69469.6,69503.4,69455.0,69459.3,46.089
1730451300000,69459.3,69464.7,69316.0,69391.2,198.42
1730451600000,69391.2,69446.7,69329.0,69446.6,146.615
1730451900000,69446.6,69484.0,69420.3,69457.5,188.135
1730452200000,69457.5,69505.8,69444.4,69499.5,125.829
1730452500000,69499.5,69520.0,69431.0,69431.1,194.747
1730452800000,69431.1,69460.7,69408.0,69418.6,102.399
1730453100000,69418.6,69451.9,69415.2,69434.4,48.433
1730453400000,69434.4,69515.1,69414.2,69511.6,100.484
1730453700000,69511.6,69566.8,69505.2,69566.8,200.039
1730454000000,69566.8,69566.8,69530.3,69549.1,127.399
1730454300000,69549.1,69580.0,69508.0,69580.0,140.558
1730454600000,69580.0,69611.0,69517.0,69521.7,309.521
1730454900000,69521.7,69560.0,69521.7,69557.1,72.788
1730455200000,69557.1,69628.0,69540.8,69615.3,267.181
1730455500000,69615.3,69661.6,69615.2,69649.6,336.93
1730455800000,69649.6,69688.0,69635.5,69675.0,384.392
1730456100000,69675.0,69898.6,69675.0,69857.0,1068.801
1730456400000,69857.0,69987.9,69816.0,69888.0,1727.292
1730456700000,69888.0,70053.0,69870.8,70020.7,833.681
1730457000000,70020.7,70195.0,70014.3,70146.8,1070.51
1730457300000,70146.8,70146.8,69880.0,69905.3,862.589
1730457600000,69905.3,69905.3,69825.1,69856.2,552.268
1730457900000,69856.2,69995.3,69786.9,69919.4,459.482
1730458200000,69919.4,70063.0,69919.4,69968.6,243.065
1730458500000,69968.6,70011.2,69932.0,70008.7,124.831
1730458800000,70008.7,70175.0,70008.6,70172.6,533.05
1730459100000,70172.6,70175.0,70071.9,70085.0,273.113
1730459400000,70085.0,70230.0,70080.3,70208.1,615.908
1730459700000,70208.1,70219.6,70131.4,70149.7,364.078
1730460000000,70149.7,70264.7,70142.3,70249.9,373.598
1730460300000,70249.9,70265.1,70171.4,70219.9,356.097
1730460600000,70219.9,70220.0,70105.0,70140.3,362.941
1730460900000,70140.3,70225.3,70140.3,70192.4,253.088
1730461200000,70192.4,70224.4,70169.6,70209.9,160.65
1730461500000,70209.9,70210.0,70123.3,70144.4,138.262
1730461800000,70144.4,70170.0,70112.9,70121.2,135.162
1730462100000,70121.2,70121.2,70018.1,70034.6,453.323
1730462400000,70034.6,70145.6,70016.6,70145.6,215.059
1730462700000,70145.6,70169.0,70112.0,70112.1,328.821
1730463000000,70112.1,70250.0,70112.1,70188.0,193.648
1730463300000,70188.0,70232.0,70171.5,70219.4,255.574
1730463600000,70219.4,70280.0,70170.0,70173.7,354.196
1730463900000,70173.7,70190.2,70076.0,70115.1,251.291
1730464200000,70115.1,70345.6,69901.2,70154.5,3193.082
1730464500000,70154.5,70484.8,70104.7,70458.7,1672.038
1730464800000,70458.7,70463.8,70288.9,70298.6,812.564
1730465100000,70298.6,70493.0,70252.0,70469.7,978.204
1730465400000,70469.7,70469.7,70300.1,70320.1,446.139
1730465700000,70320.1,70383.3,70240.0,70370.7,452.928
1730466000000,70370.7,70370.7,70265.1,70280.1,207.152
1730466300000,70280.1,70280.3,70175.0,70249.8,557.47
1730466600000,70249.8,70265.4,70154.8,70218.6,231.473
1730466900000,70218.6,70356.0,70190.0,70350.1,182.944
1730467200000,70350.1,70352.0,70250.0,70290.8,199.173
1730467500000,70290.8,70339.6,70213.1,70246.8,149.063
1730467800000,70246.8,70581.9,70195.1,70568.9,1118.63
1730468100000,70568.9,70866.6,70504.0,70813.7,3858.109
1730468400000,70813.7,70930.9,70642.1,70653.2,1953.238
1730468700000,70653.2,70918.5,70524.9,70904.5,1746.111
1730469000000,70904.5,70988.7,70840.6,70929.3,1170.019
1730469300000,70929.3,71253.8,70914.1,71220.1,1701.368
1730469600000,71220.1,71225.4,70955.9,71070.4,1768.23
1730469900000,71070.4,71396.8,71056.2,71312.0,1878.985
1730470200000,71312.0,71432.5,71213.0,71364.0,1452.865
1730470500000,71364.0,71499.9,71267.0,71490.1,1164.12
1730470800000,71490.1,71540.0,71256.3,71344.9,1779.03
1730471100000,71344.9,71563.0,71334.0,71510.8,887.31
1730471400000,71510.8,71650.0,71377.1,71495.0,1278.93
1730471700000,71495.0,71552.0,71294.6,71496.5,908.592
1730472000000,71496.5,71525.2,71128.6,71225.7,1632.231
1730472300000,71225.7,71341.5,71051.0,71259.8,1566.601
1730472600000,71259.8,71291.0,70918.0,71052.4,1042.277
1730472900000,71052.4,71323.8,70935.3,71283.3,1067.961
1730473200000,71283.3,71379.0,71125.2,71160.1,970.642
1730473500000,71160.1,71220.0,70972.0,70994.9,749.961
1730473800000,70994.9,71115.1,70929.8,71105.1,809.278
1730474100000,71105.1,71105.1,70881.0,70924.2,705.09
1730474400000,70924.2,70963.0,70636.2,70819.4,1861.015
1730474700000,70819.4,70907.2,70775.0,70884.6,463.699
1730475000000,70884.6,70893.4,70432.5,70641.5,2190.638
1730475300000,70641.5,70641.5,70050.0,70056.5,2652.712
1730475600000,70056.5,70068.9,69736.1,69958.0,3541.193
1730475900000,69958.0,69971.1,69222.3,69364.9,5246.527
1730476200000,69364.9,69641.8,69018.0,69620.2,4353.628
1730476500000,69620.2,69640.0,69340.0,69392.1,1765.912
1730476800000,69392.1,69728.1,69360.0,69717.8,1657.249
1730477100000,69717.8,69817.0,69501.8,69772.3,1538.959
1730477400000,69772.3,70038.0,69764.7,70038.0,1807.771
1730477700000,70038.0,70537.7,69960.0,70470.1,2981.797
1730478000000,70470.1,70480.0,70050.8,70143.5,1621.54
1730478300000,70143.5,70268.6,70041.5,70231.1,731.129
1730478600000,70231.1,70409.0,70185.4,70349.6,985.923
1730478900000,70349.6,70381.6,70069.3,70142.9,890.592
1730479200000,70142.9,70206.6,69847.9,69968.9,1358.448
1730479500000,69968.9,70199.8,69873.9,70127.8,856.618
1730479800000,70127.8,70242.2,70040.1,70110.2,531.95
1730480100000,70110.2,70173.5,69902.6,69930.1,420.461
1730480400000,69930.1,70035.2,69886.7,69899.5,488.173
1730480700000,69899.5,69993.5,69450.3,69630.6,2122.111
1730481000000,69630.6,69913.8,69492.0,69896.1,1555.948
1730481300000,69896.1,70188.0,69877.5,70130.0,1085.259
1730481600000,70130.0,70134.3,70000.3,70034.4,394.825
1730481900000,70034.4,70106.9,69973.5,70049.1,269.312
1730482200000,70049.1,70063.9,69715.1,69769.0,769.949
1730482500000,69769.0,69795.6,69611.8,69690.1,745.442
1730482800000,69690.1,69725.5,69594.1,69668.1,554.778
1730483100000,69668.1,69740.8,69598.0,69657.8,321.416
1730483400000,69657.8,69920.0,69652.1,69866.0,623.376
1730483700000,69866.0,69866.0,69553.2,69581.6,725.461
1730484000000,69581.6,69648.0,69502.0,69551.1,585.206
1730484300000,69551.1,69605.8,69412.4,69429.4,567.244
1730484600000,69429.4,69519.2,69348.7,69429.1,875.395
1730484900000,69429.1,69575.7,69380.2,69393.4,447.832
1730485200000,69393.4,69465.9,69266.0,69411.5,1215.83
1730485500000,69411.5,69517.4,69323.2,69464.1,504.278
1730485800000,69464.1,69549.4,69364.7,69379.9,259.721
1730486100000,69379.9,69500.0,69350.0,69440.2,179.692
1730486400000,69440.2,69445.2,69266.6,69359.8,299.25
1730486700000,69359.8,69389.9,69156.9,69264.6,674.261
1730487000000,69264.6,69264.6,69100.0,69133.3,747.699
1730487300000,69133.3,69187.9,69058.2,69157.3,548.185
1730487600000,69157.3,69170.0,68871.0,69110.6,2061.666
1730487900000,69110.6,69310.5,69021.0,69031.6,1246.6
1730488200000,69031.6,69062.0,68800.0,68883.4,1323.451
1730488500000,68883.4,69111.8,68847.0,69070.0,834.965
1730488800000,69070.0,69169.0,68932.1,69164.1,1131.742
1730489100000,69164.1,69208.9,69040.2,69055.0,586.012
1730489400000,69055.0,69184.9,69034.4,69165.4,373.998
1730489700000,69165.4,69486.5,69150.2,69265.7,1327.22
1730490000000,69265.7,69326.1,69182.7,69205.8,312.245
1730490300000,69205.8,69240.3,69100.1,69121.8,254.375
1730490600000,69121.8,69218.7,68917.0,69216.1,1168.352
1730490900000,69216.1,69373.3,69203.0,69275.8,954.483
1730491200000,69275.8,69340.3,69207.6,69270.4,534.716
1730491500000,69270.4,69289.5,69184.4,69269.8,178.992
1730491800000,69269.8,69393.4,69258.3,69350.0,297.214
1730492100000,69350.0,69351.8,69245.7,69300.3,176.07
1730492400000,69300.3,69412.0,69261.8,69398.2,151.046
1730492700000,69398.2,69455.8,69343.9,69417.0,728.648
1730493000000,69417.0,69475.0,69401.3,69474.6,237.358
1730493300000,69474.6,69474.6,69354.3,69412.0,168.967
1730493600000,69412.0,69469.3,69412.0,69445.7,125.065
1730493900000,69445.7,69456.0,69287.1,69301.3,194.978
1730494200000,69301.3,69301.3,69172.1,69172.1,393.789
1730494500000,69172.1,69324.0,69171.6,69250.0,305.895
1730494800000,69250.0,69250.0,69156.7,69229.3,256.303
1730495100000,69229.3,69352.3,69229.3,69327.0,172.418
1730495400000,69327.0,69361.6,69225.3,69244.0,192.893
1730495700000,69244.0,69279.2,69220.0,69232.6,183.132
1730496000000,69232.6,69232.6,68953.2,68977.8,869.089
1730496300000,68977.8,69055.6,68900.0,68955.1,388.162
1730496600000,68955.1,69164.8,68944.5,68971.0,771.359
1730496900000,68971.0,68993.5,68839.7,68963.3,667.326
1730497200000,68963.3,68988.6,68862.0,68972.3,261.699
1730497500000,68972.3,69129.7,68969.4,69062.8,511.38
1730497800000,69062.8,69221.3,69062.8,69221.3,269.841
1730498100000,69221.3,69321.1,69184.0,69272.9,496.915
1730498400000,69272.9,69390.5,69252.7,69276.5,327.813
1730498700000,69276.5,69399.9,69274.8,69378.6,219.697
1730499000000,69378.6,69424.6,69369.0,69419.9,132.675
1730499300000,69419.9,69450.2,69347.8,69356.0,225.126
1730499600000,69356.0,69359.9,69238.2,69256.4,221.678
1730499900000,69256.4,69289.4,69250.0,69282.6,75.998
1730500200000,69282.6,69350.5,69257.8,69303.5,220.257
1730500500000,69303.5,69394.6,69268.1,69390.9,91.004
1730500800000,69390.9,69459.5,69361.7,69434.9,103.368
1730501100000,69434.9,69454.4,69400.1,69439.4,112.552
1730501400000,69439.4,69447.1,69403.6,69421.3,67.311
1730501700000,69421.3,69450.0,69413.3,69439.2,50.855
1730502000000,69439.2,69482.5,69363.0,69473.6,155.421
1730502300000,69473.6,69542.0,69473.6,69539.7,256.47
1730502600000,69539.7,69587.6,69539.6,69575.1,204.863
1730502900000,69575.1,69631.4,69466.6,69506.0,422.475
1730503200000,69506.0,69547.7,69502.1,69515.6,88.173
1730503500000,69515.6,69563.5,69515.5,69552.3,118.348
1730503800000,69552.3,69553.8,69481.0,69481.0,71.388
1730504100000,69481.0,69502.3,69475.8,69487.6,92.8
1730504400000,69487.6,69520.6,69485.1,69488.8,79.572
1730504700000,69488.8,69507.7,69477.0,69490.7,75.695
1730505000000,69490.7,69565.2,69486.5,69545.0,89.297
1730505300000,69545.0,69547.5,69495.5,69495.5,32.019
1730505600000,69495.5,69617.0,69476.4,69599.8,242.147
1730505900000,69599.8,69622.0,69561.2,69620.7,114.962
1730506200000,69620.7,69644.4,69612.7,69630.1,100.432
1730506500000,69630.1,69630.1,69500.0,69543.2,183.712
1730506800000,69543.2,69570.8,69526.6,69556.1,155.969
1730507100000,69556.1,69669.1,69556.0,69629.2,220.164
1730507400000,69629.2,69632.2,69556.2,69600.0,134.77
1730507700000,69600.0,69622.0,69589.7,69608.2,69.395
1730508000000,69608.2,69615.0,69575.5,69604.6,51.468
1730508300000,69604.6,69647.2,69593.3,69647.0,55.874
1730508600000,69647.0,69662.0,69621.0,69631.1,63.092
1730508900000,69631.1,69683.4,69631.1,69665.4,99.294
1730509200000,69665.4,69710.0,69627.0,69645.9,151.977
1730509500000,69645.9,69693.5,69635.5,69655.7,70.372
1730509800000,69655.7,69656.6,69589.0,69598.9,92.358
1730510100000,69598.9,69599.0,69527.4,69547.7,127.012
1730510400000,69547.7,69548.3,69509.3,69548.3,124.386
1730510700000,69548.3,69576.9,69548.3,69573.9,44.178
1730511000000,69573.9,69573.9,69522.8,69522.8,68.205
1730511300000,69522.8,69580.3,69522.8,69580.3,33.937
1730511600000,69580.3,69672.2,69580.2,69664.1,91.183
1730511900000,69664.1,69685.0,69655.6,69673.4,90.083
1730512200000,69673.4,69679.2,69631.3,69631.3,33.974
1730512500000,69631.3,69672.0,69626.6,69660.1,52.937
1730512800000,69660.1,69694.7,69660.1,69674.1,68.907
1730513100000,69674.1,69744.5,69674.0,69723.9,147.749
1730513400000,69723.9,69758.9,69723.9,69745.3,73.138
1730513700000,69745.3,69818.0,69745.2,69787.0,170.236
