time,open,high,low,close,volume
1730437200000,2513.54,2514.74,2511.35,2514.57,677.33
1730437500000,2514.57,2515.42,2511.21,2511.21,1262.72
1730437800000,2511.21,2511.55,2508.75,2510.29,933.09
1730438100000,2510.29,2511.0,2507.74,2510.98,1204.31
1730438400000,2510.98,2513.0,2509.48,2510.03,950.22
1730438700000,2510.03,2510.4,2508.0,2510.11,490.67
1730439000000,2510.11,2512.99,2510.06,2510.27,839.35
1730439300000,2510.27,2513.42,2510.0,2512.36,518.59
1730439600000,2512.36,2512.52,2509.09,2511.22,1312.63
1730439900000,2511.22,2514.65,2509.79,2510.78,1147.79
1730440200000,2510.78,2511.99,2508.98,2511.98,1813.13
1730440500000,2511.98,2512.59,2510.56,2510.58,409.89
1730440800000,2510.58,2513.82,2509.65,2511.41,961.94
1730441100000,2511.41,2511.41,2505.2,2505.39,2006.25
1730441400000,2505.39,2505.39,2500.23,2501.55,6249.55
1730441700000,2501.55,2506.61,2501.41,2503.2,3276.35
1730442000000,2503.2,2508.67,2502.8,2505.59,1872.86
1730442300000,2505.59,2509.39,2505.2,2506.88,1435.64
1730442600000,2506.88,2507.85,2505.49,2505.73,560.49
1730442900000,2505.73,2511.79,2504.16,2511.45,1926.84
1730443200000,2511.45,2512.41,2506.69,2508.99,1644.69
1730443500000,2508.99,2513.84,2508.99,2510.97,1104.61
1730443800000,2510.97,2510.97,2503.41,2505.2,1835.24
1730444100000,2505.2,2505.56,2500.0,2500.56,2208.45
1730444400000,2500.56,2505.95,2500.16,2504.27,1893.11
1730444700000,2504.27,2505.14,2491.96,2492.61,5249.16
1730445000000,2492.61,2495.19,2485.07,2487.6,9340.09
1730445300000,2487.6,2494.09,2487.6,2491.4,3748.73
1730445600000,2491.4,2499.09,2490.82,2498.09,3834.5
1730445900000,2498.09,2503.56,2497.68,2501.92,2486.68
1730446200000,2501.92,2504.84,2501.8,2503.89,1802.7
1730446500000,2503.89,2508.51,2503.53,2504.79,2472.58
1730446800000,2504.79,2504.79,2501.61,2502.59,1267.2
1730447100000,2502.59,2502.76,2497.69,2500.47,2021.06
