time,open,high,low,close,volume
1730437200000,2513.39,2514.49,2511.25,2514.29,143.88851
1730437500000,2514.29,2514.96,2510.84,2510.85,164.82966
1730437800000,2510.85,2511.24,2508.92,2510.06,189.63903
1730438100000,2510.06,2510.8,2507.43,2510.64,230.32723
1730438400000,2510.64,2513.0,2508.98,2509.67,369.58219
1730438700000,2509.67,2510.05,2507.6,2509.86,155.44612
1730439000000,2509.86,2512.5,2509.63,2509.94,224.54282
1730439300000,2509.94,2512.98,2509.55,2511.87,184.26036
1730439600000,2511.87,2512.0,2508.4,2511.0,305.84446
1730439900000,2511.0,2514.37,2509.56,2510.25,297.52901
1730440200000,2510.25,2511.75,2508.54,2511.63,288.44291
1730440500000,2511.63,2512.19,2510.12,2510.25,157.37035
1730440800000,2510.25,2513.36,2509.2,2510.93,251.46124
1730441100000,2510.93,2510.93,2504.84,2504.93,527.33456
1730441400000,2504.93,2504.93,2499.84,2501.14,639.93564
1730441700000,2501.14,2506.39,2501.07,2502.69,496.91015
1730442000000,2502.69,2508.09,2502.2,2505.1,475.79701
1730442300000,2505.1,2508.9,2504.81,2506.45,415.94872
1730442600000,2506.45,2507.49,2505.14,2505.49,212.13966
1730442900000,2505.49,2511.47,2503.62,2511.17,420.10157
1730443200000,2511.17,2511.99,2506.49,2508.59,286.27731
1730443500000,2508.59,2513.48,2508.52,2510.5,304.94879
1730443800000,2510.5,2510.55,2503.4,2504.99,455.79457
1730444100000,2504.99,2505.29,2499.85,2500.33,440.40834
1730444400000,2500.33,2505.63,2499.84,2504.06,345.41389
1730444700000,2504.06,2504.78,2492.5,2492.5,758.85739
1730445000000,2492.5,2494.93,2485.16,2487.73,1183.1621
1730445300000,2487.73,2493.93,2487.31,2491.06,566.1459
1730445600000,2491.06,2498.97,2490.69,2497.69,626.01066
1730445900000,2497.69,2503.01,2497.21,2501.72,295.96046
1730446200000,2501.72,2504.31,2501.45,2503.56,293.18281
1730446500000,2503.56,2507.99,2503.11,2504.58,354.82548
1730446800000,2504.58,2504.6,2501.33,2502.45,270.48322
1730447100000,2502.45,2502.58,2497.79,2500.3,379.9725
1730447400000,2500.3,2506.53,2500.3,2504.32,451.60274
1730447700000,2504.32,2507.08,2503.59,2503.93,380.52038
1730448000000,2503.93,2505.81,2501.98,2503.71,488.38427
1730448300000,2503.71,2505.1,2501.45,2504.43,249.91246
1730448600000,2504.43,2508.36,2504.05,2508.36,341.96683
1730448900000,2508.36,2515.27,2508.22,2510.13,759.16177
1730449200000,2510.13,2513.64,2509.78,2512.24,424.91034
1730449500000,2512.24,2513.48,2510.45,2512.96,255.47061
1730449800000,2512.96,2515.04,2510.58,2511.73,399.11844
1730450100000,2511.73,2512.0,2504.71,2505.07,596.70618
1730450400000,2505.07,2509.16,2503.63,2508.99,284.74463
1730450700000,2508.99,2508.99,2505.01,2505.63,312.18807
1730451000000,2505.63,2507.09,2502.51,2503.38,307.20641
1730451300000,2503.38,2503.78,2494.76,2501.0,852.28813
1730451600000,2501.0,2504.18,2498.61,2503.92,412.96703
1730451900000,2503.92,2506.29,2502.54,2504.02,277.72309
1730452200000,2504.02,2507.21,2503.6,2507.15,347.19665
1730452500000,2507.15,2508.56,2503.31,2503.34,323.38624
1730452800000,2503.34,2504.58,2501.01,2503.39,335.44236
1730453100000,2503.39,2505.28,2502.82,2503.48,222.71155
1730453400000,2503.48,2506.02,2501.82,2505.45,307.02091
1730453700000,2505.45,2509.71,2504.47,2509.68,499.8934
1730454000000,2509.68,2511.15,2507.23,2509.84,346.98708
1730454300000,2509.84,2513.19,2507.7,2513.16,269.66264
1730454600000,2513.16,2513.58,2508.15,2508.72,362.72186
1730454900000,2508.72,2511.39,2508.55,2510.78,215.90203
1730455200000,2510.78,2513.3,2509.13,2512.4,309.02139
1730455500000,2512.4,2512.47,2509.37,2510.96,278.98246
1730455800000,2510.96,2513.49,2509.8,2512.71,389.35962
1730456100000,2512.71,2519.19,2511.63,2515.49,618.77802
1730456400000,2515.49,2521.34,2514.52,2515.8,917.22465
1730456700000,2515.8,2519.4,2514.89,2518.33,530.26198
1730457000000,2518.33,2525.0,2518.14,2522.2,957.91951
1730457300000,2522.2,2522.35,2513.6,2514.7,739.26533
1730457600000,2514.7,2517.1,2513.11,2516.32,453.36925
1730457900000,2516.32,2519.64,2512.82,2517.21,454.87028
1730458200000,2517.21,2521.57,2517.21,2519.08,387.81208
1730458500000,2519.08,2519.09,2517.51,2518.82,250.57731
1730458800000,2518.82,2523.19,2518.14,2522.51,346.77646
1730459100000,2522.51,2522.76,2518.6,2520.64,236.81078
1730459400000,2520.64,2524.4,2519.81,2522.96,360.37726
1730459700000,2522.96,2523.4,2521.15,2521.79,263.07392
1730460000000,2521.79,2526.15,2521.41,2524.16,315.09133
